ticker,first_valid,missing_frac
AAPL,1998-01-05,0.0
ABT,1998-01-05,0.0
ACGL,1998-01-05,0.0
ADBE,1998-01-05,0.0
ADI,1998-01-05,0.0
ADM,1998-01-05,0.0
ADP,1998-01-05,0.0
ADSK,1998-01-05,0.0
AEE,1998-01-05,0.0
AEP,1998-01-05,0.0
AES,1998-01-05,0.0
AFL,1998-01-05,0.0
AIG,1998-01-05,0.0
AJG,1998-01-05,0.0
ALB,1998-01-05,0.0
ALL,1998-01-05,0.0
AMAT,1998-01-05,0.0
AMD,1998-01-05,0.0
AME,1998-01-05,0.0
AMGN,1998-01-05,0.0
AMZN,1998-01-05,0.0
AON,1998-01-05,0.0
AOS,1998-01-05,0.0
APA,1998-01-05,0.0
APD,1998-01-05,0.0
APH,1998-01-05,0.0
ARE,1998-01-05,0.0
ATO,1998-01-05,0.0
AVY,1998-01-05,0.0
AXP,1998-01-05,0.0
AZO,1998-01-05,0.0
BA,1998-01-05,0.0
BAC,1998-01-05,0.0
BALL,1998-01-05,0.0
BAX,1998-01-05,0.0
BBY,1998-01-05,0.0
BDX,1998-01-05,0.0
BEN,1998-01-05,0.0
BF-B,1998-01-05,0.0
BIIB,1998-01-05,0.0
BKR,1998-01-05,0.0
BMY,1998-01-05,0.0
BNY,1998-01-05,0.0
BRK-B,1998-01-05,0.0
BRO,1998-01-05,0.0
BSX,1998-01-05,0.0
BXP,1998-01-05,0.0
C,1998-01-05,0.0
CAH,1998-01-05,0.0
CASY,1998-01-05,0.0
CAT,1998-01-05,0.0
CB,1998-01-05,0.0
CCL,1998-01-05,0.0
CDNS,1998-01-05,0.0
CHD,1998-01-05,0.0
CHRW,1998-01-05,0.0
CI,1998-01-05,0.0
CIEN,1998-01-05,0.0
CINF,1998-01-05,0.0
CL,1998-01-05,0.0
CLX,1998-01-05,0.0
CMCSA,1998-01-05,0.0
CMI,1998-01-05,0.0
CMS,1998-01-05,0.0
CNP,1998-01-05,0.0
COF,1998-01-05,0.0
COHR,1998-01-05,0.0
COO,1998-01-05,0.0
COP,1998-01-05,0.0
COR,1998-01-05,0.0
COST,1998-01-05,0.0
CPRT,1998-01-05,0.0
